accident_index,vehicle_reference,casualty_type,accident_year,accident_reference,longitude,latitude,accident_severity,number_of_casualties,date,local_authority_district,local_authority_ons_district,lsoa_of_accident_location,user_type,quarter,year_quarter
2019010155191,2,1,2019,10155191,-0.124193,51.526795,3,1,2019-01-01,2,E09000007,E01000943,Cyclist,1,2019_Q1
2019010155452,1,0,2019,10155452,-0.249554,51.55696,2,1,2019-01-01,28,E09000005,E01000511,Pedestrian,1,2019_Q1
2019010155334,1,0,2019,10155334,-0.385498,51.472743,3,1,2019-01-01,25,E09000018,E01002624,Pedestrian,1,2019_Q1
2019010155306,2,1,2019,10155306,-0.02853,51.569029,3,1,2019-01-01,13,E09000031,E01004427,Cyclist,1,2019_Q1
2019010155301,2,1,2019,10155301,-0.113933,51.3244,3,1,2019-01-01,20,E09000008,E01001067,Cyclist,1,2019_Q1
2019010155282,2,1,2019,10155282,-0.018574,51.522863,2,1,2019-01-01,5,E09000030,E01004239,Cyclist,1,2019_Q1
2019010155255,1,0,2019,10155255,-0.1046,51.507028,3,1,2019-01-01,8,E09000028,E01003934,Pedestrian,1,2019_Q1
2019010155242,2,1,2019,10155242,-0.336704,51.482519,3,1,2019-01-01,25,E09000018,E01002675,Cyclist,1,2019_Q1
2019010155297,1,0,2019,10155297,-0.221382,51.461835,3,1,2019-01-01,10,E09000032,E01004506,Pedestrian,1,2019_Q1
2019010155221,1,0,2019,10155221,-0.007064,51.506832,2,1,2019-01-01,5,E09000030,E01032780,Pedestrian,1,2019_Q1
2019010155217,1,0,2019,10155217,0.070277,51.557075,2,1,2019-01-01,14,E09000026,E01003728,Pedestrian,1,2019_Q1
2019010155216,1,0,2019,10155216,-0.087182,51.549218,3,1,2019-01-01,3,E09000019,E01002776,Pedestrian,1,2019_Q1
2019010155210,1,0,2019,10155210,-0.021065,51.533238,1,1,2019-01-01,5,E09000030,E01032764,Pedestrian,1,2019_Q1
2019010155209,1,0,2019,10155209,0.070738,51.556734,3,1,2019-01-01,14,E09000026,E01003689,Pedestrian,1,2019_Q1
2019010155196,1,0,2019,10155196,-0.099071,51.367605,3,1,2019-01-01,20,E09000008,E01001043,Pedestrian,1,2019_Q1
2019010155192,1,0,2019,10155192,-0.191044,51.546387,2,1,2019-01-01,2,E09000007,E01000973,Pedestrian,1,2019_Q1
2019010155226,1,0,2019,10155226,-0.393167,51.533115,3,1,2019-01-01,27,E09000009,E01001331,Pedestrian,1,2019_Q1
2019010155473,1,0,2019,10155473,-0.28503,51.554983,2,1,2019-01-02,28,E09000005,E01000617,Pedestrian,1,2019_Q1
2019010156696,1,1,2019,10156696,-0.11653,51.487149,3,1,2019-01-02,9,E09000022,E01003109,Cyclist,1,2019_Q1
2019010156542,1,0,2019,10156542,-0.114628,51.560454,2,1,2019-01-02,3,E09000019,E01002730,Pedestrian,1,2019_Q1
2019010155619,2,1,2019,10155619,0.145389,51.566436,3,1,2019-01-02,16,E09000002,E01000111,Cyclist,1,2019_Q1
2019010155533,1,0,2019,10155533,-0.166804,51.427047,3,1,2019-01-02,10,E09000032,E01004525,Pedestrian,1,2019_Q1
2019010155505,1,1,2019,10155505,-0.072736,51.514953,3,1,2019-01-02,5,E09000030,E01004310,Cyclist,1,2019_Q1
2019010155480,1,1,2019,10155480,-0.168525,51.478629,3,1,2019-01-02,10,E09000032,E01004583,Cyclist,1,2019_Q1
2019010155472,2,1,2019,10155472,-0.302311,51.411912,2,1,2019-01-02,23,E09000021,E01002968,Cyclist,1,2019_Q1
2019010155469,1,0,2019,10155469,0.002318,51.54562,2,1,2019-01-02,17,E09000025,E01003617,Pedestrian,1,2019_Q1
2019010155465,1,0,2019,10155465,-0.381194,51.499148,3,1,2019-01-02,27,E09000009,E01001369,Pedestrian,1,2019_Q1
2019010155456,1,0,2019,10155456,-0.234379,51.49436,3,1,2019-01-02,11,E09000013,E01001894,Pedestrian,1,2019_Q1
2019010155453,1,0,2019,10155453,-0.052485,51.413539,3,2,2019-01-02,19,E09000006,E01000799,Pedestrian,1,2019_Q1
2019010155451,1,0,2019,10155451,-0.329161,51.483986,3,1,2019-01-02,25,E09000018,E01002678,Pedestrian,1,2019_Q1
2019010155449,2,1,2019,10155449,-0.169303,51.42678,3,1,2019-01-02,10,E09000032,E01004526,Cyclist,1,2019_Q1
2019010155369,2,1,2019,10155369,-0.186896,51.496531,3,1,2019-01-02,12,E09000020,E01002888,Cyclist,1,2019_Q1
2019010155441,1,0,2019,10155441,-0.079723,51.570525,3,1,2019-01-02,4,E09000012,E01001812,Pedestrian,1,2019_Q1
2019010155436,1,0,2019,10155436,-0.051826,51.628319,3,2,2019-01-02,32,E09000010,E01001489,Pedestrian,1,2019_Q1
2019010155915,1,0,2019,10155915,-0.059394,51.527035,3,1,2019-01-03,5,E09000030,E01004211,Pedestrian,1,2019_Q1
2019010180799,1,1,2019,10180799,-0.090183,51.494088,3,1,2019-01-03,8,E09000028,E01003960,Cyclist,1,2019_Q1
2019480950483,1,0,2019,480950483,-0.10939,51.515586,3,1,2019-01-03,570,E09000001,E01032740,Pedestrian,1,2019_Q1
2019480820999,2,1,2019,480820999,-0.094595,51.51576,3,1,2019-01-03,570,E09000001,E01000002,Cyclist,1,2019_Q1
2019010155695,1,0,2019,10155695,-0.076523,51.652431,3,1,2019-01-03,32,E09000010,E01001544,Pedestrian,1,2019_Q1
2019010155622,2,1,2019,10155622,-0.204514,51.413655,2,1,2019-01-03,22,E09000024,E01003428,Cyclist,1,2019_Q1
2019010155613,1,1,2019,10155613,-0.026445,51.481539,3,1,2019-01-03,7,E09000023,E01003253,Cyclist,1,2019_Q1
2019010155576,1,0,2019,10155576,-0.158802,51.500482,3,1,2019-01-03,12,E09000020,E01002818,Pedestrian,1,2019_Q1
2019010155567,1,1,2019,10155567,-0.128517,51.506783,2,1,2019-01-03,1,E09000033,E01004736,Cyclist,1,2019_Q1
2019010155552,1,1,2019,10155552,-0.248163,51.465106,3,1,2019-01-03,24,E09000027,E01003852,Cyclist,1,2019_Q1
2019010155540,2,1,2019,10155540,-0.395499,51.47538,2,1,2019-01-03,25,E09000018,E01002587,Cyclist,1,2019_Q1
2019010155506,1,0,2019,10155506,-0.262348,51.519174,3,1,2019-01-03,27,E09000009,E01001238,Pedestrian,1,2019_Q1
2019010155632,2,1,2019,10155632,-0.252843,51.421328,3,1,2019-01-03,23,E09000021,E01002953,Cyclist,1,2019_Q1
2019010155825,1,0,2019,10155825,-0.246266,51.535931,2,1,2019-01-04,28,E09000005,E01033485,Pedestrian,1,2019_Q1
2019010156691,1,0,2019,10156691,-0.128083,51.632564,3,1,2019-01-04,32,E09000010,E01001519,Pedestrian,1,2019_Q1
2019010157561,1,0,2019,10157561,0.026168,51.546487,2,1,2019-01-04,17,E09000025,E01003558,Pedestrian,1,2019_Q1
2019010155964,1,1,2019,10155964,0.07014,51.577886,3,1,2019-01-04,14,E09000026,E01003653,Cyclist,1,2019_Q1
2019010155821,1,0,2019,10155821,-0.006114,51.557283,3,1,2019-01-04,13,E09000031,E01004376,Pedestrian,1,2019_Q1
2019010155755,2,1,2019,10155755,-0.187128,51.502308,3,1,2019-01-04,12,E09000020,E01002826,Cyclist,1,2019_Q1
2019010155803,1,1,2019,10155803,-0.1954,51.539818,3,1,2019-01-04,2,E09000007,E01000933,Cyclist,1,2019_Q1
